@type,accessLevel,accrualPeriodicity,bureauCode_0,conformsTo,contactPoint_@type,contactPoint_fn,contactPoint_hasEmail,dataQuality,describedBy,describedByType,description,distribution_0_description,distribution_0_downloadURL,distribution_0_format,distribution_0_mediaType,distribution_0_title,distribution_0_conformsTo,distribution_0_describedBy,distribution_0_describedByType,distribution_1_description,distribution_1_downloadURL,distribution_1_format,distribution_1_mediaType,distribution_1_title,distribution_1_conformsTo,distribution_1_describedBy,distribution_1_describedByType,distribution_1_accessURL,distribution_2_conformsTo,distribution_2_describedBy,distribution_2_describedByType,distribution_2_description,distribution_2_downloadURL,distribution_2_format,distribution_2_mediaType,distribution_2_title,distribution_2_accessURL,distribution_3_description,distribution_3_downloadURL,distribution_3_format,distribution_3_mediaType,distribution_3_title,distribution_3_accessURL,identifier,isPartOf,issued,keyword_0,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10,keyword_11,keyword_12,keyword_13,keyword_14,keyword_15,keyword_16,keyword_17,keyword_18,keyword_19,keyword_20,keyword_21,keyword_22,keyword_23,keyword_24,keyword_25,keyword_26,keyword_27,keyword_28,keyword_29,keyword_30,keyword_31,keyword_32,keyword_33,keyword_34,keyword_35,keyword_36,landingPage,language,license,modified,primaryITInvestmentUII,programCode_0,publisher_name,references_0,references_1,references_2,references_3,rights,spatial,systemOfRecords,temporal,theme_0,title
dcat:Dataset,public,R/P1M,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,https://www.ssa.gov/data/index.html,,Provides a list of all data assets maintained by the Social Security Administration. It consists of the Enterprise Data Inventory.,,https://www.ssa.gov/data/index.html,HTML,text/html,,,,,,https://www.ssa.gov/data.csv,CSV,text/csv,,,,,,https://project-open-data.cio.gov/v1.1/schema,https://www.ssa.gov/data.json,application/json,,https://www.ssa.gov/data.json,JSON,application/json,,,,,,,,,US-GOV-SSA-1,,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Data,Data Asset,Dataset,EDI,Enterprise Data Inventory,FOIA,Freedom of Information Act,Social Security,Social Security Administration,SSA,,,,,,,,,,,,https://www.ssa.gov/data/,,https://creativecommons.org/publicdomain/zero/1.0/,R/P1M,,016:000,Social Security Administration,https://www.ssa.gov/data/index.html,,,,,,,R/2010-09-25/P1M,,Social Security Administration (SSA) Enterprise Data Inventory (EDI)
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Social Security's document storage for structured and unstructured objects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-2,,,documents,image,tiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Document Management Architecture
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Management information about requests and responses from financial institutions for inquires regarding Title XVI eligibility.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-3,,,account,balances,financial institutions,management information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Access To Financial Institutions - Management Information
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Legacy management information system for Title XVI appeals from Reconsideration through Court adjudicative levels.  Replaced by SUMS Appeals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-4,,,appeals,SSI,t16,title 16,title XVI,workload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Title XVI Field Office Appeals - Operational Data Store
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Stores information about appointed representatives used for reporting purposes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-5,,,appointed representatives,representative,sanction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Appointed Representative Management Information - Operational Data Store
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Stores information about the certification of payments for Title XVI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-7,,,accounting,certification,SSI,title 16,title XVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Benefit Certification And Accounting System - Title XVI
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Local MI for Electronic Services application.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-8,,,electronic services,management information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Local Management Information - Operational Data Store
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Electronic Services Behavioral MI application that will capture user behavior associated with completing Internet applications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-9,,,behavior,internet applications,management information,MI,user behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,"The publishing of the data asset cannot be done due to one or more of the following reasons: contains personal identifying information, contains federal tax information, contains sensitive information, or a data assessment has not been completed.",,,,,Behavioral Electronic Services - Management Information
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Stores information around continuing disability reviews.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-10,,,CDR,continuing disability review,disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,SSA Unified Measurement System (SUMS) Continuing Disability Review - Operation Data Store
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Captures management information about disability beneficiaries that are participating in the "the back to work program".,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-11,,,management information,ticket to work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and Federal Tax Information (FTI) and cannot be provided to the public.,,,,,Ticket To Work Workload - Management Information
